model,dataset,seed0,seed1,seed2,seed3,mean,std,n,best_hparams
GraphAny (Cora),CityParis,19.930000,20.150000,20.150000,20.150000,20.095000,0.095263,4,
GraphAny (Cora),CityShanghai,19.690000,19.730000,19.730000,19.730000,19.720000,0.017321,4,
GraphAny (Cora),CityLA,17.220000,17.180000,17.180000,17.180000,17.190000,0.017321,4,
GraphAny (Cora),CityLondon,17.110000,17.140000,17.140000,17.140000,17.132500,0.012990,4,
GOBLIN (Cora),CityParis,24.299312,24.305883,24.304788,24.299312,24.302324,0.003037,4,
GOBLIN (Cora),CityShanghai,22.342746,22.341387,22.341387,22.334591,22.340028,0.003188,4,
GOBLIN (Cora),CityLA,21.129936,21.124221,21.127859,21.133573,21.128897,0.003387,4,
GOBLIN (Cora),CityLondon,21.507922,21.501328,21.504186,21.508580,21.505504,0.002936,4,
MeanGNN L=2,CityParis,21.102265,20.412254,20.854737,20.805450,20.793676,0.247273,4,"{""lr"": 0.0005, ""hidden_dim"": 128}"
MeanGNN L=2,CityShanghai,22.923845,22.760050,23.027152,22.709076,22.855031,0.127166,4,"{""lr"": 0.0005, ""hidden_dim"": 128}"
MeanGNN L=2,CityLA,19.239263,19.363438,19.297454,19.453840,19.338499,0.079778,4,"{""lr"": 0.0005, ""hidden_dim"": 128}"
MeanGNN L=2,CityLondon,21.568576,21.438476,21.758230,21.536930,21.575553,0.115868,4,"{""lr"": 0.0005, ""hidden_dim"": 128}"
MeanGNN L=16,CityParis,26.835921,28.033033,26.196292,27.327690,27.098234,0.672459,4,"{""lr"": 0.0005, ""hidden_dim"": 128}"
MeanGNN L=16,CityShanghai,28.744349,28.028682,28.821149,28.975430,28.642403,0.363973,4,"{""lr"": 0.0005, ""hidden_dim"": 128}"
MeanGNN L=16,CityLA,26.815990,27.105904,26.951593,26.695451,26.892234,0.153064,4,"{""lr"": 0.0005, ""hidden_dim"": 64}"
MeanGNN L=16,CityLondon,27.777520,28.255063,28.030688,28.444278,28.126887,0.249238,4,"{""lr"": 0.0005, ""hidden_dim"": 128}"
GAT L=2 H=8,CityParis,20.506446,20.911689,20.411159,21.074882,20.726044,0.275467,4,"{""lr"": 0.0005, ""hidden_dim"": 128}"
GAT L=2 H=8,CityShanghai,21.025588,20.613042,20.918883,20.630713,20.797056,0.179304,4,"{""lr"": 0.0005, ""hidden_dim"": 128}"
GAT L=2 H=8,CityLA,18.941036,18.798676,18.309252,18.912460,18.740356,0.254531,4,"{""lr"": 0.0005, ""hidden_dim"": 128}"
GAT L=2 H=8,CityLondon,21.258929,21.282664,21.054770,20.917858,21.128555,0.150486,4,"{""lr"": 0.0005, ""hidden_dim"": 128}"
GAT L=16 H=8,CityParis,46.386209,46.143061,47.348937,47.128791,46.751750,0.500728,4,"{""lr"": 0.0005, ""hidden_dim"": 128}"
GAT L=16 H=8,CityShanghai,59.301323,57.348013,58.325344,59.021986,58.499166,0.753685,4,"{""lr"": 0.0005, ""hidden_dim"": 128}"
GAT L=16 H=8,CityLA,52.693653,52.837050,53.933322,53.961378,53.356351,0.593253,4,"{""lr"": 0.0005, ""hidden_dim"": 128}"
GAT L=16 H=8,CityLondon,47.858083,47.566459,48.039827,47.399440,47.715952,0.248809,4,"{""lr"": 0.0005, ""hidden_dim"": 128}"
